TestFile,Accuracy,Precision,Recall,F1 Score,AUC-ROC,AUC-PR,MCC,Cohen Kappa,balanced_accuracy,PlatePPV,DivPlatePPV
sampled_data_test_1.parquet,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523,0.927,0.9922876007156889,0.0,0.0,0.5,0.9090909090909091,0.8418079096045198
sampled_data_test_2.parquet,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523,0.75075,0.9679195854448528,0.0,0.0,0.5,1.0,0.8347953216374269
