iter	Passed	Remaining
342	5015	9607
343	5031	9595
344	5047	9582
345	5064	9572
346	5079	9558
347	5094	9545
348	5110	9532
349	5126	9520
350	5142	9508
351	5157	9495
352	5173	9482
353	5189	9469
354	5205	9457
355	5223	9448
356	5239	9436
357	5254	9423
358	5271	9411
359	5286	9398
360	5304	9388
361	5320	9376
362	5336	9364
363	5352	9352
364	5368	9338
365	5384	9327
366	5400	9315
367	5416	9301
368	5431	9287
369	5446	9274
370	5462	9260
371	5477	9247
372	5492	9233
373	5508	9220
374	5523	9205
375	5538	9191
376	5554	9178
377	5570	9165
378	5586	9154
379	5603	9142
380	5621	9132
381	5637	9120
382	5653	9107
383	5668	9093
384	5686	9084
385	5703	9072
386	5719	9059
387	5736	9047
388	5753	9036
389	5771	9026
390	5786	9013
391	5802	9000
392	5819	8988
393	5836	8977
394	5855	8968
395	5872	8956
396	5888	8943
397	5905	8933
398	5921	8919
399	5937	8906
400	5954	8894
401	5970	8881
402	5985	8867
403	6001	8853
404	6017	8840
405	6033	8827
406	6049	8814
407	6065	8801
408	6081	8787
409	6097	8773
410	6113	8760
411	6129	8747
412	6145	8733
413	6155	8712
414	6170	8698
415	6186	8685
416	6202	8671
417	6218	8658
418	6235	8646
419	6251	8633
420	6267	8619
421	6283	8605
422	6298	8592
423	6314	8577
424	6330	8564
425	6346	8551
426	6362	8538
427	6378	8524
428	6394	8510
429	6409	8496
430	6424	8482
431	6439	8467
432	6454	8452
433	6470	8438
434	6486	8425
435	6502	8411
436	6517	8396
437	6533	8382
438	6548	8368
439	6563	8353
440	6578	8338
441	6593	8323
442	6608	8309
443	6625	8296
444	6644	8286
445	6660	8273
446	6676	8259
447	6692	8245
448	6707	8230
449	6722	8216
450	6738	8202
451	6755	8189
452	6770	8175
453	6786	8162
454	6801	8147
455	6816	8132
456	6831	8117
457	6846	8102
458	6862	8088
459	6878	8074
460	6894	8060
461	6909	8045
462	6924	8030
463	6940	8017
464	6957	8005
465	6973	7990
466	6988	7976
467	7005	7963
468	7021	7949
469	7040	7939
470	7057	7926
471	7075	7914
472	7090	7900
473	7106	7886
474	7122	7872
475	7138	7858
476	7153	7843
477	7169	7829
478	7184	7814
479	7200	7801
480	7216	7786
481	7233	7773
482	7249	7760
483	7266	7746
484	7282	7732
485	7297	7718
486	7313	7704
487	7329	7690
488	7345	7676
489	7362	7663
490	7378	7649
491	7394	7635
492	7409	7620
493	7425	7606
494	7440	7590
495	7455	7576
496	7472	7562
497	7488	7548
498	7503	7533
499	7518	7518
500	7534	7504
501	7549	7489
502	7565	7475
503	7581	7460
504	7596	7445
505	7612	7431
506	7627	7417
507	7643	7403
508	7662	7391
509	7678	7377
510	7694	7363
511	7709	7347
512	7724	7333
513	7740	7318
514	7754	7303
515	7770	7288
516	7786	7274
517	7801	7259
518	7818	7245
519	7836	7233
520	7853	7220
521	7872	7208
522	7891	7197
523	7906	7182
524	7922	7167
525	7937	7152
526	7952	7138
527	7968	7122
528	7983	7107
529	7998	7093
530	8013	7077
531	8029	7063
532	8045	7049
533	8061	7034
534	8076	7019
535	8091	7004
536	8106	6989
537	8122	6975
538	8138	6960
539	8154	6946
540	8170	6931
541	8186	6917
542	8202	6903
543	8217	6888
544	8232	6873
545	8248	6858
546	8264	6844
547	8280	6830
548	8296	6815
549	8312	6801
550	8328	6787
551	8344	6771
552	8359	6756
553	8374	6741
554	8390	6727
555	8405	6712
556	8421	6698
557	8438	6683
558	8453	6668
559	8469	6654
560	8484	6639
561	8499	6624
562	8515	6610
563	8531	6595
564	8546	6580
565	8562	6565
566	8577	6550
567	8593	6535
568	8608	6520
569	8623	6505
570	8638	6490
571	8655	6476
572	8677	6466
573	8694	6452
574	8710	6437
575	8725	6423
576	8741	6408
577	8757	6393
578	8772	6378
579	8787	6363
580	8803	6348
581	8818	6333
582	8833	6318
583	8849	6303
584	8864	6288
585	8880	6273
586	8895	6258
587	8910	6243
588	8926	6228
589	8942	6214
590	8957	6199
591	8973	6184
592	8988	6169
593	9003	6154
594	9019	6139
595	9035	6124
596	9050	6109
597	9065	6094
598	9080	6079
599	9097	6065
600	9113	6050
601	9128	6035
602	9143	6020
603	9159	6005
604	9175	5990
605	9190	5975
606	9205	5959
607	9221	5945
608	9237	5931
609	9253	5915
610	9268	5901
611	9284	5886
612	9299	5871
613	9315	5856
614	9330	5841
615	9346	5826
616	9361	5811
617	9377	5796
618	9392	5781
619	9408	5766
620	9438	5760
621	9457	5747
622	9478	5735
623	9496	5721
624	9514	5708
625	9530	5693
626	9545	5678
627	9561	5663
628	9577	5648
629	9597	5636
630	9614	5622
631	9629	5607
632	9645	5592
633	9660	5577
634	9677	5562
635	9694	5548
636	9710	5533
637	9726	5518
638	9741	5503
639	9756	5488
640	9772	5473
641	9787	5457
642	9802	5442
643	9818	5427
644	9834	5412
645	9850	5397
646	9865	5382
647	9880	5367
648	9895	5352
649	9910	5336
650	9926	5321
651	9941	5306
652	9956	5290
653	9972	5276
654	9987	5260
655	10004	5246
656	10019	5231
657	10035	5216
658	10051	5201
659	10067	5186
660	10082	5171
661	10097	5155
662	10113	5140
663	10128	5125
664	10144	5110
665	10160	5095
666	10176	5080
667	10192	5065
668	10207	5050
669	10223	5035
670	10239	5020
671	10255	5005
672	10271	4990
673	10287	4975
674	10303	4960
675	10318	4945
676	10334	4930
677	10349	4915
678	10365	4900
679	10379	4884
680	10395	4869
681	10411	4854
682	10427	4839
683	10442	4824
684	10457	4808
685	10473	4794
686	10489	4778
687	10504	4763
688	10520	4748
689	10535	4733
690	10550	4718
691	10566	4703
692	10582	4687
693	10598	4673
694	10613	4657
695	10629	4642
696	10644	4627
697	10659	4612
698	10676	4597
699	10693	4582
700	10712	4569
701	10728	4554
702	10744	4539
703	10760	4524
704	10775	4509
705	10791	4493
706	10804	4477
707	10820	4462
708	10835	4447
709	10850	4431
710	10865	4416
711	10881	4401
712	10896	4386
713	10912	4371
714	10927	4355
715	10943	4340
716	10958	4325
717	10974	4310
718	10990	4295
719	11006	4280
720	11021	4264
721	11036	4249
722	11052	4234
723	11066	4218
724	11082	4203
725	11098	4188
726	11114	4173
727	11130	4158
728	11146	4143
729	11162	4128
730	11177	4113
731	11192	4097
732	11207	4082
733	11223	4067
734	11233	4050
735	11248	4034
736	11265	4019
737	11281	4005
738	11297	3989
739	11312	3974
740	11327	3959
741	11343	3944
742	11359	3929
743	11373	3913
744	11389	3898
745	11405	3883
746	11420	3867
747	11435	3852
748	11450	3837
749	11466	3822
750	11483	3807
751	11499	3792
752	11514	3777
753	11530	3761
754	11545	3746
755	11561	3731
756	11577	3716
757	11592	3701
758	11608	3685
759	11623	3670
760	11639	3655
761	11655	3640
762	11670	3624
763	11685	3609
764	11701	3594
765	11716	3579
766	11733	3564
767	11750	3549
768	11766	3534
769	11781	3519
770	11797	3504
771	11813	3488
772	11828	3473
773	11844	3458
774	11859	3443
775	11875	3427
776	11890	3412
777	11905	3397
778	11920	3381
779	11936	3366
780	11951	3351
781	11966	3336
782	11982	3320
783	11997	3305
784	12013	3290
785	12028	3274
786	12043	3259
787	12058	3244
788	12073	3228
789	12089	3213
790	12104	3198
791	12120	3183
792	12135	3167
793	12150	3152
794	12165	3136
795	12180	3121
796	12195	3106
797	12210	3090
798	12226	3075
799	12239	3059
800	12255	3044
801	12271	3029
802	12286	3014
803	12302	2999
804	12317	2983
805	12332	2968
806	12348	2953
807	12363	2937
808	12379	2922
809	12395	2907
810	12411	2892
811	12426	2877
812	12441	2861
813	12456	2846
814	12473	2831
815	12489	2816
816	12505	2801
817	12519	2785
818	12534	2770
819	12550	2754
820	12565	2739
821	12580	2724
822	12595	2708
823	12611	2693
824	12626	2678
825	12641	2663
826	12657	2647
827	12673	2632
828	12688	2617
829	12703	2601
830	12719	2586
831	12734	2571
832	12750	2556
833	12773	2542
834	12789	2527
835	12805	2512
836	12821	2496
837	12836	2481
838	12852	2466
839	12867	2450
840	12883	2435
841	12898	2420
842	12913	2405
843	12928	2389
844	12943	2374
845	12959	2359
846	12975	2343
847	12990	2328
848	13005	2313
849	13021	2297
850	13036	2282
851	13051	2267
852	13067	2251
853	13082	2236
854	13098	2221
855	13113	2205
856	13128	2190
857	13143	2175
858	13158	2159
859	13173	2144
860	13188	2129
861	13201	2113
862	13216	2098
863	13231	2082
864	13247	2067
865	13264	2052
866	13280	2037
867	13296	2021
868	13311	2006
869	13326	1991
870	13343	1976
871	13359	1960
872	13374	1945
873	13390	1930
874	13405	1915
875	13421	1899
876	13436	1884
877	13451	1869
878	13467	1853
879	13482	1838
880	13497	1823
881	13513	1807
882	13529	1792
883	13544	1777
884	13559	1761
885	13574	1746
886	13590	1731
887	13606	1716
888	13622	1700
889	13637	1685
890	13652	1670
891	13667	1654
892	13682	1639
893	13698	1624
894	13713	1608
895	13728	1593
896	13743	1578
897	13751	1562
898	13767	1546
899	13784	1531
900	13801	1516
901	13818	1501
902	13834	1486
903	13850	1470
904	13865	1455
905	13881	1440
906	13893	1424
907	13908	1409
908	13923	1393
909	13939	1378
910	13955	1363
911	13970	1348
912	13985	1332
913	14001	1317
914	14017	1302
915	14033	1286
916	14049	1271
917	14064	1256
918	14080	1241
919	14096	1225
920	14112	1210
921	14128	1195
922	14144	1179
923	14160	1164
924	14175	1149
925	14191	1134
926	14206	1118
927	14221	1103
928	14236	1088
929	14252	1072
930	14267	1057
931	14282	1042
932	14297	1026
933	14314	1011
934	14329	996
935	14345	980
936	14362	965
937	14377	950
938	14393	935
939	14410	919
940	14425	904
941	14441	889
942	14456	873
943	14472	858
944	14487	843
945	14503	827
946	14519	812
947	14535	797
948	14551	782
949	14567	766
950	14581	751
951	14597	736
952	14612	720
953	14627	705
954	14643	690
955	14658	674
956	14673	659
957	14689	643
958	14705	628
959	14720	613
960	14737	598
961	14753	582
962	14769	567
963	14785	552
964	14801	536
965	14822	521
966	14838	506
967	14854	491
968	14869	475
969	14887	460
970	14903	445
971	14919	429
972	14934	414
973	14950	399
974	14965	383
975	14981	368
976	14997	353
977	15013	337
978	15029	322
979	15045	307
980	15061	291
981	15076	276
982	15092	261
983	15107	245
984	15122	230
985	15138	214
986	15154	199
987	15170	184
988	15185	168
989	15200	153
990	15216	138
991	15233	122
992	15249	107
993	15264	92
994	15280	76
995	15295	61
996	15310	46
997	15326	30
998	15341	15
999	15356	0
